gate,net_ID,CC0,CC1,CO,is_trojan
g0,64,2,2,0,0
g1,65,2,2,0,0
g10,50,4,26,0,0
g100,122,3,690052,276320,0
g1000,2334,5,288,404620,0
g1001,2333,5,674,323757,0
g1002,2332,5,438,404620,0
g1003,2331,5,1104,404620,0
g1004,2330,5,578,404620,0
g1005,2329,5,288,323757,0
g1006,2328,5,231,566340,0
g1007,2327,5,148,323757,0
g1008,2326,5,231,323757,0
g1009,2325,5,381,323757,0
g101,123,3,621071,276320,0
g1010,2324,5,521,323757,0
g1011,2323,4,46051,69044,0
g1012,2322,4,92106,69044,0
g1013,2321,5,381,485483,0
g1014,2320,5,1022,485483,0
g1015,2319,5,732,485483,0
g1016,2318,5,578,485483,0
g1017,2317,5,288,305,0
g1018,2316,5,814,485483,0
g1019,2315,5,438,305,0
g102,124,3,552090,276320,0
g1020,2314,5,964,404620,0
g1021,2313,5,148,404620,0
g1022,2312,5,521,305,0
g1023,2311,5,1104,305,0
g1024,2310,5,381,404620,0
g1025,2309,5,1022,404620,0
g1026,2308,5,231,404620,0
g1027,2307,5,674,404620,0
g1028,2306,5,872,566340,0
g1029,2305,5,521,404620,0
g103,125,3,483109,276320,0
g1030,2304,5,732,305,0
g1031,2303,5,872,305,0
g1032,2302,5,814,305,0
g1033,2301,5,381,81168,0
g1034,2300,5,578,305,0
g1035,2299,5,1022,305,0
g1036,2298,5,964,305,0
g1037,2297,5,231,485483,0
g1038,2296,5,814,404620,0
g1039,2295,5,674,305,0
g104,126,3,414128,276320,0
g1040,2294,5,381,305,0
g1041,2293,5,814,323757,0
g1042,2292,5,231,305,0
g1043,2291,5,1104,323757,0
g1044,2290,5,91,305,0
g1045,2289,5,732,81168,0
g1046,2288,5,872,81168,0
g1047,2287,5,814,81168,0
g1048,2286,5,578,81168,0
g1049,2285,5,1022,81168,0
g105,127,3,345147,276320,0
g1050,2284,5,674,81168,0
g1051,2283,5,872,404620,0
g1052,2282,5,521,81168,0
g1053,2281,5,438,81168,0
g1054,2280,5,288,81168,0
g1055,2279,5,91,81168,0
g1056,2278,5,732,404620,0
g1057,2277,5,91,485483,0
g1058,2276,5,872,162031,0
g1059,2275,5,964,162031,0
g106,128,3,897063,345388,0
g1060,2274,5,1104,162031,0
g1061,2273,5,438,162031,0
g1062,2272,5,381,162031,0
g1063,2271,5,91,162031,0
g1064,2270,5,814,566340,0
g1065,2269,5,1104,81168,0
g1066,2268,5,578,242894,0
g1067,2267,5,1022,242894,0
g1068,2266,5,674,566340,0
g1069,2265,5,438,242894,0
g107,129,3,828082,345388,0
g1070,2264,5,91,323757,0
g1071,2263,5,288,242894,0
g1072,2262,5,732,323757,0
g1073,2261,5,872,323757,0
g1074,2260,5,964,81168,0
g1075,2256,552320,7,621542,0
g1076,2254,483286,7,552493,0
g1077,2252,138081,7,207201,0
g1078,2250,414242,7,483430,0
g1079,2248,345208,7,414381,0
g108,130,3,759101,345388,0
g1080,2246,276159,7,345313,0
g1081,2244,207125,7,276264,0
g1082,2242,966566,7,1035890,0
g1083,2240,69047,8,138152,0
g1084,2238,1035610,7,1104953,0
g1085,2236,897532,7,966841,0
g1086,2234,828483,7,897773,0
g1087,2232,759449,7,828724,0
g1088,2230,690405,7,759661,0
g1089,2228,621371,7,690612,0
g109,131,3,690120,345388,0
g1090,2226,1104644,7,1174003,0
g1091,2225,5,1163,305,0
g1092,2224,5,872,485483,0
g1093,2223,5,578,323757,0
g1094,2222,5,1104,566340,0
g1095,2221,5,964,485483,0
g1096,2220,5,1104,485483,0
g1097,2219,5,521,485483,0
g1098,2218,5,288,485483,0
g1099,2217,5,148,485483,0
g11,37,2,2,0,0
g110,132,3,621139,345388,0
g1100,2216,5,732,566340,0
g1101,2215,5,578,566340,0
g1102,2214,5,964,566340,0
g1103,2213,5,964,323757,0
g1104,2212,5,521,566340,0
g1105,2211,5,381,566340,0
g1106,2210,5,1022,323757,0
g1107,2209,5,1022,162031,0
g1108,2208,5,231,81168,0
g1109,2207,5,814,162031,0
g111,133,3,552158,345388,0
g1110,2206,5,578,162031,0
g1111,2205,5,438,485483,0
g1112,2204,5,148,81168,0
g1113,2203,5,674,485483,0
g1114,2202,5,1022,566340,0
g1115,2201,5,732,162031,0
g1116,2200,5,1104,242894,0
g1117,2199,5,91,242894,0
g1118,2198,5,148,242894,0
g1119,2197,5,231,242894,0
g112,134,3,483177,345388,0
g1120,2196,5,381,242894,0
g1121,2195,5,674,242894,0
g1122,2194,5,521,242894,0
g1123,2193,5,521,162031,0
g1124,2192,5,964,242894,0
g1125,2191,5,91,566340,0
g1126,2190,5,288,566340,0
g1127,2189,5,438,566340,0
g1128,2188,5,872,242894,0
g1129,2187,5,732,242894,0
g113,135,3,414196,345388,0
g1130,2186,5,814,242894,0
g1131,2185,5,148,162031,0
g1132,2184,5,674,162031,0
g1133,2183,5,231,162031,0
