gate,CC0,CC1,CO,is_trojan
g0,689,116,1224,1
g1,22,32,2517,1
g2,61,62,7347,1
g3,51,54,961,1
g4,84,84,6077,1
g5,9,10,1426,1
g6,9,10,467,1
g7,457,456,2060,1
g8,23,19,361,1
g9,44,44,7767,1
g10,26,54,2063,1
g11,13,11,158,0
g12,2170,2170,1409,1
g13,28,11465,1360,1
g14,3301,2259,5817,1
g15,66,67,1099,0
g16,7,3,168,0
g17,112,291,723,1
g18,4,8,150,0
g19,9,9,4231,1
g20,5587,7507,6799,1
g21,31,75,4582,1
g22,1196,14,605,1
g23,25,53,992,1
g24,59,59,4181,1
g25,4,8,146,0
g26,10,19,4241,1
g27,206,207,1229,1
g28,9,10,2873,1
g29,38,47,789,1
g30,26,96,451,0
g31,241,242,3313,1
g32,50,4071,2641,1
g33,2010,1398,14282,1
g34,14,18,121,0
g35,4135,10530,4234,1
g36,898,900,112,1
g37,29,29,1874,1
g38,16,267,76,1
g39,63,58,711,1
g40,11,23,980,1
g41,19768,536,45487,1
g42,11,10,1968,1
g43,37580,37580,1369,1
g44,24931,3301,1369,1
g45,9,9,4663,1
g46,48,47,2015,1
g47,258,385,1687,1
g48,19,13,7,0
g49,25,140,67,1
g50,6,16713,86,1
g51,4,8,140,0
g52,9,33,127,0
g53,20,19,972,1
g54,12,398,81,1
g55,19,19,4221,1
g56,58,128,717,1
g57,9,12,52,0
g58,1996,1996,14794,1
g59,11,23,593,0
g60,238,153,413,1
g61,11,10,992,1
g62,31,30,1011,0
g63,16,10,158,0
g64,10,19,4249,1
g65,1918,5586,12388,1
g66,49,106,260,1
g67,8,33,151,0
g68,33,21,359,1
g69,58,207,676,0
g70,1040,3836,7641,1
g71,4145,100,1259,1
g72,9,10,4670,1
g73,4,8,131,0
g74,12,462,81,1
g75,9,9,375,1
g76,158,561,2368,1
g77,4,8,216,1
g78,30,30,7412,1
g79,589,589,9626,1
g80,1052,773,8356,1
g81,132,132,1123,1
g82,480,480,11558,1
g83,4,8,140,0
g84,333,367,668,0
g85,262,365,773,0
g86,51,136,901,0
g87,129,133,658,1
g88,23,22,302,1
g89,23,4,112,0
g90,173,434,1191,1
g91,63,62,4752,1
g92,58,54,845,1
g93,71,109,843,0
g94,145,143,1350,1
g95,200,196,576,1
g96,6683,6683,5176,1
g97,10,20,626,1
g98,24,23,793,0
g99,60,26582,1328,1
g100,74,75,1319,1
g101,351,475,651,0
g102,11,19,5989,1
g103,10,30,475,1
g104,12,851,81,1
g105,2,2,272,0
g106,2,2,194,0
g107,217,494,1264,1
g108,48,81,7512,1
g109,11,10,7412,1
g110,9,10,152,0
g111,11,21,992,1
g112,90,90,5988,1
g113,9,10,533,0
g114,135,135,7257,1
g115,7,3,151,0
g116,35,37600,57049,1
g117,114,115,210,1
g118,4,8,262,0
g119,68,160,1005,0
g120,6,27,216,0
g121,118,119,108,1
g122,1861,2710,10712,1
g123,883,884,11927,1
g124,138,288,498,1
g125,4,8,140,0
g126,11,36,555,1
g127,11,21,4229,1
g128,5,10842,88,1
g129,44,45,340,1
g130,4,8,380,1
g131,30,30,5998,1
g132,4,8,133,0
g133,6,298,86,1
g134,11,10,5989,1
g135,27,76,1492,1
g136,12,8,944,1
g137,2461,4981,2504,1
g138,9,12,17,0
g139,139,139,2743,1
g140,479,479,9688,1
g141,149,124,7747,1
g142,401,399,992,1
g143,7,3,108,0
g144,29,8312,63,1
g145,9,10,101,0
g146,263,263,122,1
g147,919,56,36,0
g148,5322,722,637,1
g149,35,21,615,1
g150,1699,4702,8612,1
g151,3,26,154,0
g152,15,4,69,0
g153,9,10,1081,1
g154,349,349,9818,1
g155,2260,8105,7512,1
g156,9,10,198,0
g157,9,82,17,0
g158,35130,34,1338,1
g159,30,89,686,1
g160,56,141,853,0
g161,219,2468,5951,1
g162,35,110,4437,1
g163,197,200,815,1
g164,9,9,5979,1
g165,28,28,130,1
g166,434,618,568,1
g167,108,105,904,1
g168,199,199,4041,1
g169,85,58,3005,1
g170,10,25,627,1
g171,36,14,1527,1
