gate,CC0,CC1,CO,is_trojan
g0,9,9,106,0
g1,47,43,0,0
g2,52,10,255,0
g3,7,3,183,0
g4,9,33,202,0
g5,82,10,254,0
g6,4,8,291,0
g7,14,18,244,0
g8,4,12,92,0
g9,15,19,252,0
g10,9,35,79,0
g11,4,8,203,0
g12,31,5,148,0
g13,3,18,119,0
g14,4,15,160,0
g15,4,8,49,0
g16,16,10,80,0
g17,4,17,184,0
g18,4,8,196,0
g19,47,43,0,0
g20,7,3,91,0
g21,3,15,208,0
g22,4,21,190,0
g23,10,14,90,0
g24,4,17,184,0
g25,4,8,196,0
g26,4,8,196,0
g27,3,12,46,0
g28,10,10,225,0
g29,9,9,59,0
g30,4,8,221,0
g31,7,3,172,0
g32,10,14,169,0
g33,9,9,155,0
g34,4,8,165,0
g35,7,3,172,0
g36,4,17,95,0
g37,15,4,186,0
g38,8,8,90,0
g39,3,7,85,1
g40,15,19,244,0
g41,64,10,255,0
g42,4,8,195,0
g43,4,8,196,0
g44,47,43,0,0
g45,3,7,94,0
g46,3,18,119,0
g47,15,4,152,0
g48,6,67,192,0
g49,12,16,211,0
g50,3,7,85,1
g51,3,15,179,0
g52,4,8,196,0
g53,12,3,100,0
g54,9,75,250,0
g55,7,3,160,0
g56,2,2,96,0
g57,6,67,217,0
g58,9,11,214,0
g59,4,8,256,0
g60,9,63,179,0
g61,4,8,281,0
g62,47,43,0,0
g63,4,8,196,0
g64,5,31,61,1
g65,12,4,123,0
g66,9,11,189,0
g67,9,9,276,0
g68,10,9,197,0
g69,7,3,160,0
g70,47,43,0,0
g71,4,8,196,0
g72,9,11,218,0
g73,10,19,67,0
g74,34,10,255,0
g75,4,17,108,0
g76,3,15,179,0
g77,15,19,244,0
g78,31,5,136,0
g79,12,4,82,0
g80,4,8,64,0
g81,18,14,210,0
g82,4,8,204,0
g83,4,8,285,0
g84,8,22,72,0
g85,47,43,0,0
g86,2,2,51,0
g87,4,8,66,1
g88,47,43,0,0
g89,5,30,52,0
g90,4,8,238,0
g91,9,11,214,0
g92,9,51,191,0
g93,15,19,269,0
g94,6,82,119,0
g95,4,17,255,0
g96,4,17,263,0
g97,19,10,116,0
g98,39,4,140,0
g99,9,39,250,0
g100,3,15,179,0
g101,38,4,56,0
g102,4,8,238,0
g103,15,11,31,0
g104,17,13,150,0
g105,7,3,192,0
g106,6,23,102,0
g107,12,16,182,0
g108,9,9,174,0
g109,4,8,88,1
g110,47,43,0,0
g111,15,4,203,0
g112,4,8,200,0
g113,6,67,192,0
g114,3,15,179,0
g115,47,43,0,0
g116,9,11,189,0
g117,4,8,281,0
g118,65,4,136,0
g119,4,17,184,0
g120,40,10,255,0
g121,9,9,85,0
g122,7,3,89,1
g123,18,14,197,0
g124,18,14,245,0
g125,17,13,174,0
g126,3,7,94,0
g127,4,8,101,0
g128,10,14,211,0
g129,47,43,0,0
g130,47,43,0,0
g131,4,8,231,0
g132,47,43,0,0
g133,5,32,103,0
g134,15,19,244,0
g135,47,43,0,0
g136,9,87,249,0
g137,5,3,54,0
g138,12,16,207,0
g139,15,11,273,0
g140,15,17,269,0
g141,7,3,172,0
g142,47,43,0,0
g143,47,43,0,0
g144,11,7,49,0
g145,6,91,88,0
g146,11,32,132,0
g147,18,18,64,0
g148,47,43,0,0
g149,9,33,256,0
g150,7,3,89,1
g151,47,43,0,0
g152,6,67,217,0
g153,12,4,103,0
g154,4,8,88,1
g155,7,3,39,0
g156,47,43,0,0
g157,15,17,149,0
g158,3,7,46,0
g159,8,14,96,1
g160,4,8,223,0
g161,90,5,89,0
g162,7,3,196,0
g163,16,31,72,0
g164,47,43,0,0
g165,2,5,100,1
g166,15,19,173,0
g167,4,17,255,0
g168,9,14,134,0
g169,4,13,46,0
g170,6,67,221,0
g171,7,3,112,0
g172,4,8,111,0
g173,22,6,70,1
g174,3,15,179,0
g175,4,8,100,0
g176,4,12,94,0
g177,10,9,78,0
g178,18,14,197,0
g179,7,3,39,0
g180,58,10,255,0
g181,9,9,87,0
g182,4,8,315,0
g183,10,10,159,0
g184,15,21,122,0
g185,3,7,98,0
g186,10,14,96,1
g187,4,15,90,0
g188,47,43,0,0
g189,2,2,57,0
g190,7,3,91,0
g191,4,8,327,0
g192,6,6,96,1
g193,7,3,91,0
g194,8,9,74,0
g195,7,3,89,1
g196,4,21,190,0
g197,4,8,231,0
g198,18,14,270,0
g199,18,14,245,0
g200,47,43,0,0
g201,11,4,71,0
g202,47,43,0,0
g203,18,14,245,0
g204,7,3,197,0
g205,19,10,96,0
g206,28,10,261,0
g207,4,8,196,0
g208,58,5,109,0
g209,7,3,89,0
g210,9,69,179,0
g211,9,9,177,0
g212,47,43,0,0
g213,12,16,182,0
g214,47,43,0,0
g215,4,8,231,0
g216,9,81,179,0
g217,9,21,214,0
g218,4,66,100,0
g219,42,6,137,0
g220,14,18,173,0
g221,9,9,106,0
g222,15,19,244,0
g223,12,16,182,0
g224,14,18,28,0
g225,4,21,167,0
g226,47,43,0,0
g227,18,14,197,0
g228,7,3,65,0
g229,15,19,244,0
g230,9,21,264,0
g231,4,21,218,0
g232,5,22,72,0
g233,18,14,245,0
g234,4,17,255,0
g235,15,4,186,0
g236,6,67,192,0
g237,3,19,79,0
g238,6,66,192,0
g239,10,14,49,0
g240,12,16,182,0
g241,7,3,39,0
g242,47,43,0,0
g243,6,67,192,0
g244,10,29,157,0
g245,15,4,164,0
g246,7,3,172,0
g247,4,8,90,0
g248,7,3,172,0
g249,4,17,280,0
g250,15,4,186,0
g251,47,43,0,0
g252,3,17,77,0
g253,4,8,101,0
g254,4,8,196,0
g255,4,17,216,0
g256,4,8,238,0
g257,4,8,97,0
g258,46,42,0,0
g259,7,3,172,0
g260,9,9,177,0
g261,8,4,84,1
g262,7,3,160,0
g263,4,17,255,0
g264,15,19,244,0
g265,18,14,174,0
g266,2,2,96,0
g267,4,8,90,0
g268,4,17,255,0
g269,7,3,211,0
g270,15,19,196,0
g271,5,66,83,0
g272,4,8,225,0
g273,46,10,255,0
g274,3,15,187,0
g275,18,14,245,0
g276,15,4,186,0
g277,15,11,224,0
g278,18,14,197,0
g279,4,21,203,0
g280,9,15,53,0
g281,18,14,174,0
g282,13,9,85,0
g283,15,17,224,0
g284,5,24,53,0
g285,47,43,0,0
g286,47,43,0,0
g287,4,17,184,0
g288,52,10,190,0
g289,17,13,245,0
g290,15,19,244,0
g291,42,6,125,0
g292,15,19,196,0
g293,9,14,134,0
g294,7,3,172,0
g295,5,25,202,0
g296,47,43,0,0
g297,20,3,62,0
g298,14,4,94,0
g299,4,15,90,0
g300,6,30,82,0
g301,47,43,0,0
g302,28,10,207,0
g303,12,16,182,0
g304,19,10,167,0
g305,47,43,0,0
g306,8,4,84,1
g307,15,11,149,0
g308,4,17,182,0
g309,3,19,77,0
g310,4,8,297,0
g311,12,4,80,1
g312,3,15,204,0
g313,4,17,263,0
g314,3,7,98,0
g315,4,8,111,0
g316,18,14,206,0
g317,47,43,0,0
g318,4,8,309,0
g319,47,43,0,0
g320,14,18,149,0
g321,11,32,132,0
g322,9,9,95,0
g323,16,14,150,0
g324,3,15,179,0
g325,7,3,39,0
g326,15,4,152,0
g327,76,10,255,0
g328,9,27,258,0
g329,7,3,172,0
g330,47,43,0,0
g331,47,43,0,0
g332,15,4,164,0
g333,3,15,179,0
g334,7,3,197,0
g335,3,7,85,1
g336,9,15,220,0
g337,34,10,207,0
g338,7,3,183,0
g339,9,11,189,0
g340,10,10,58,0
g341,4,8,281,0
g342,3,18,119,0
g343,3,15,204,0
g344,9,11,197,0
g345,9,75,179,0
g346,4,8,203,0
g347,7,3,83,0
g348,9,15,77,0
g349,9,11,189,0
g350,15,21,122,0
g351,15,4,164,0
g352,47,43,0,0
g353,15,4,164,0
g354,82,10,183,0
g355,47,43,0,0
g356,4,17,255,0
g357,7,3,70,0
g358,4,8,221,0
g359,4,8,179,0
g360,7,3,112,0
g361,4,8,88,0
g362,9,57,250,0
g363,18,14,197,0
g364,9,15,192,0
g365,4,8,92,0
g366,9,14,134,0
g367,7,3,87,0
g368,4,21,167,0
g369,64,10,184,0
g370,6,67,192,0
g371,31,27,15,0
g372,15,19,173,0
g373,6,95,143,0
g374,9,11,189,0
g375,4,8,196,0
g376,4,17,235,0
g377,3,7,63,1
g378,6,67,192,0
g379,16,3,82,0
g380,3,11,81,1
g381,4,17,255,0
g382,47,43,0,0
g383,47,43,0,0
g384,7,3,172,0
g385,14,4,135,0
g386,18,14,245,0
g387,9,45,250,0
g388,6,67,192,0
g389,9,69,250,0
g390,9,13,57,1
g391,76,10,184,0
g392,18,14,253,0
g393,3,15,179,0
g394,7,3,87,0
g395,11,7,35,0
g396,47,43,0,0
g397,10,14,225,0
g398,4,8,88,1
g399,16,10,269,0
g400,47,43,0,0
g401,9,11,197,0
g402,15,4,212,0
g403,9,15,154,0
g404,9,9,126,0
g405,9,39,202,0
g406,15,21,122,0
g407,4,25,179,0
g408,18,14,174,0
g409,47,43,0,0
g410,9,87,178,0
g411,14,9,72,0
g412,4,20,167,0
g413,4,8,281,0
g414,9,27,208,0
g415,4,21,167,0
g416,10,3,95,0
g417,11,17,97,0
g418,4,8,179,0
g419,3,7,98,0
g420,51,5,43,0
g421,4,8,321,0
g422,7,3,87,0
g423,3,15,179,0
g424,47,43,0,0
g425,30,10,47,0
