gate,CC0,CC1,CO,is_trojan
CONST_0,1,1,269,0
CONST_1,1,1,94,0
xmit_dataH[7],1,1,142,0
xmit_dataH[6],1,1,145,0
xmit_dataH[5],1,1,155,0
xmit_dataH[4],1,1,165,0
xmit_dataH[3],1,1,175,0
xmit_dataH[2],1,1,185,0
xmit_dataH[1],1,1,195,0
xmit_dataH[0],1,1,205,0
sys_clk,1,1,14,0
sys_rst_l,1,1,15,0
xmitH,1,1,36,0
uart_REC_dataH,1,1,21,0
test_mode,1,1,94,0
test_se,1,1,12,0
test_si,1,1,83,0
U305,5,94,21,1
U303,5,23,0,1
U302,251,4,19,1
U301,77,27,193,1
U300,16,25,254,1
U299,21,81,249,1
U298,23,85,247,1
U297,14,29,256,1
U296,173,3,97,1
U295,11,157,259,1
U294,24,169,246,1
U293,134,12,136,1
U230,11,45,99,0
U229,6,75,104,0
U228,11,38,109,0
U227,9,22,119,0
U226,11,36,91,0
U225,6,48,96,0
U224,11,29,101,0
U223,9,13,111,0
U222,11,82,307,0
U221,6,186,312,0
U220,11,75,317,0
U219,9,59,327,0
U218,11,54,181,0
U217,6,98,186,0
U216,11,47,191,0
U215,9,29,203,0
U214,3,94,46,0
U213,17,10,15,0
U212,24,5,107,0
U211,56,5,197,0
U210,42,5,115,0
U209,66,7,244,0
U208,116,5,323,0
U207,24,97,36,0
U206,99,2,44,0
U205,21,100,25,0
U204,30,105,46,0
U202,31,5,74,0
U201,39,7,69,0
U138,11,22,57,0
U137,23,12,56,0
U135,7,25,99,0
U132,23,12,107,0
U131,13,24,112,0
U129,19,11,113,0
U128,8,37,87,0
U127,9,43,83,0
U126,9,51,73,0
U125,9,67,63,0
U124,9,74,53,0
U123,6,16,52,0
U120,25,9,102,0
U118,25,16,90,0
U117,11,19,87,0
U116,32,14,50,0
U114,14,11,90,0
U113,26,4,78,0
U112,25,5,77,0
U111,4,30,45,0
U109,59,11,39,0
U108,7,29,39,0
U107,16,12,18,0
U106,20,18,10,0
U102,53,5,57,0
U101,6,79,31,0
U100,6,104,70,0
U99,105,7,204,0
U97,6,95,54,0
U96,80,7,215,0
U95,6,174,77,0
U94,6,58,146,0
U93,59,7,145,0
U92,105,16,110,0
U91,24,107,102,0
U90,25,113,96,0
U89,10,137,95,0
U88,12,155,83,0
U87,12,162,73,0
U85,91,7,303,0
U83,104,14,62,0
U82,106,15,61,0
U80,97,13,47,0
U79,93,2,47,0
U77,96,10,39,0
U75,189,14,33,0
U74,15,190,32,0
U73,2,2,35,0
U72,9,9,23,0
U71,85,7,25,0
U69,10,10,153,0
U68,175,7,167,0
U67,8,242,100,0
U66,11,19,144,0
U65,76,16,87,0
U64,17,77,86,0
U63,83,16,77,0
U62,17,84,76,0
U61,90,16,67,0
U60,17,91,66,0
U59,97,16,57,0
U58,17,98,56,0
U57,11,100,35,0
U56,102,18,28,0
U55,11,97,46,0
U51,98,9,43,0
U50,17,100,35,0
U48,98,9,53,0
U47,17,100,45,0
U45,98,9,63,0
U44,17,100,55,0
U42,98,9,73,0
U41,17,100,65,0
U39,98,9,83,0
U38,17,100,75,0
U36,98,9,93,0
U35,17,100,85,0
U33,98,9,103,0
U32,17,100,95,0
U31,36,12,34,0
U30,13,37,33,0
U29,78,12,44,0
U28,13,79,43,0
U27,79,12,44,0
U26,13,80,43,0
U25,72,12,44,0
U24,13,73,43,0
U23,65,12,44,0
U22,13,66,43,0
U21,58,12,44,0
U20,13,59,43,0
U19,51,12,44,0
U18,13,52,43,0
U17,44,12,44,0
U16,13,45,43,0
U15,18,11,115,0
U14,19,20,107,0
U13,61,12,61,0
U12,13,62,60,0
U11,38,12,91,0
U10,13,39,90,0
U9,47,12,81,0
U8,13,48,80,0
U7,54,12,71,0
U6,13,55,70,0
U5,7,190,104,0
U4,181,14,97,0
U3,111,12,0,0
U290,3,4,91,0
