gate,CC0,CC1,CO,is_trojan
U1,15,8,0,0
U2,10,6,0,0
U3,12,9,0,0
U4,14,6,0,0
U5,12,8,0,0
U6,8,9,0,0
U7,4,17,30,0
U8,4,21,30,0
U9,3,27,24,0
U10,3,32,31,0
U11,3,14,31,0
U12,6,2,0,0
U13,15,4,0,0
U14,7,9,0,0
U15,9,9,0,0
U16,7,8,0,0
U17,8,5,0,0
U18,4,2,0,0
U19,6,2,0,0
U20,2,3,0,0
U21,8,10,0,0
U22,4,2,0,0
U23,3,7,0,0
U24,2,5,47,0
U25,4,5,44,0
U26,2,6,42,0
U27,2,3,50,0
U28,2,12,52,0
U29,2,10,52,0
U30,2,13,52,0
U31,2,5,15,0
U32,2,7,15,0
U33,2,4,15,0
U34,2,12,52,0
U35,2,10,52,0
U36,2,13,52,0
U37,2,3,53,0
U38,2,13,32,0
U39,2,3,87,0
U40,2,3,87,0
U41,2,3,87,0
U42,2,12,50,0
U43,2,10,50,0
U44,2,13,50,0
U45,2,3,40,0
U46,2,3,40,0
U47,2,3,40,0
U48,2,12,42,0
U49,2,10,42,0
U50,2,13,42,0
U51,2,5,55,0
U52,4,5,52,0
U53,2,6,50,0
U54,2,12,55,0
U55,2,10,55,0
U56,2,13,55,0
U57,2,12,50,0
U58,2,10,50,0
U59,2,13,50,0
U60,2,3,46,0
U61,6,20,28,0
U62,2,3,39,0
U63,2,3,39,0
U64,2,3,39,0
U65,2,12,42,0
U66,2,10,42,0
U67,2,13,42,0
U68,2,3,54,0
U69,2,3,54,0
U70,2,3,54,0
U71,2,12,41,0
U72,2,10,41,0
U73,2,13,41,0
U74,4,11,30,0
U75,23,3,29,0
U76,7,19,59,0
U77,2,9,57,0
U78,8,12,47,0
U79,3,32,52,0
U80,2,7,10,0
U81,2,9,46,0
U82,2,9,46,0
U83,2,9,46,0
U84,2,9,46,0
U85,2,3,48,0
U86,2,9,48,0
U87,2,9,48,0
U88,3,2,#INF,0
U89,2,9,48,0
U90,2,9,48,0
U91,4,24,26,0
U92,3,21,27,0
U93,5,23,7,0
U94,2,9,50,0
U95,2,9,50,0
U96,2,9,50,0
U97,2,5,28,0
U98,2,4,28,0
U99,2,3,15,0
U100,3,7,10,0
U101,2,9,43,0
U102,2,9,43,0
U103,2,9,43,0
U104,2,5,21,0
U105,2,3,21,0
U106,2,5,25,0
U107,2,4,12,0
U108,2,9,48,0
U109,2,9,48,0
U110,2,9,48,0
U111,2,9,#INF,0
U112,2,9,#INF,0
U113,2,9,53,0
U114,2,9,53,0
U115,2,9,53,0
U116,2,9,53,0
U117,2,9,53,0
U118,2,9,53,0
U119,4,25,30,0
U120,3,19,31,0
U121,5,25,9,0
U122,2,9,43,0
U123,2,3,43,0
U124,4,9,23,0
U125,2,6,21,0
U126,2,7,21,0
U127,2,10,25,0
U128,2,13,25,0
U129,8,9,28,0
U130,3,2,#INF,0
U131,2,9,47,0
U132,2,10,26,0
U133,2,3,26,0
U134,2,3,15,0
U135,3,7,10,0
U136,2,3,18,0
U137,8,9,23,0
U138,3,2,#INF,0
U139,2,9,42,0
U140,2,10,21,0
U141,2,7,21,0
U142,2,7,9,0
U143,2,5,4,0
U144,4,8,11,0
U145,2,3,12,0
U146,2,3,33,0
U147,2,3,33,0
U148,2,3,33,0
U149,2,3,33,0
U150,2,3,33,0
U151,2,3,33,0
U152,2,3,33,0
U153,2,3,33,0
U154,6,23,12,0
U155,3,7,42,0
U156,2,5,53,0
U157,2,5,46,0
U158,2,7,35,0
U159,2,7,30,0
U160,2,3,17,0
U161,3,10,7,0
U162,1,1,19,0
U163,1,1,14,0
U164,1,1,10,0
U165,1,1,14,0
U166,2,3,12,0
U167,5,2,10,0
U168,1,1,32,0
U169,2,4,44,0
U170,2,3,46,0
U171,1,1,6,0
U172,3,2,49,0
U173,1,1,6,0
U174,3,2,44,0
U175,5,4,40,0
U176,5,8,37,0
U177,2,4,44,0
U178,1,1,27,0
U179,3,2,38,0
U180,5,6,44,0
U181,1,1,35,0
U182,3,6,45,0
U183,10,3,43,0
U184,1,1,63,0
U185,8,2,43,0
U186,1,1,32,0
U187,11,3,43,0
U188,1,1,35,0
U189,1,1,40,0
U190,1,1,30,0
U191,9,5,36,0
U192,1,1,13,0
U193,1,1,4,0
U194,1,1,54,0
U195,8,8,27,0
U196,1,1,6,0
U197,1,1,63,0
U198,1,1,6,0
