gate,CC0,CC1,CO,is_trojan
CONST_0,1,1,#INF,0
CONST_1,1,1,#INF,0
CK,1,1,36,0
DATA_0_0,1,1,123,0
DATA_0_1,1,1,114,0
DATA_0_10,1,1,139,0
DATA_0_11,1,1,147,0
DATA_0_12,1,1,139,0
DATA_0_13,1,1,139,0
DATA_0_14,1,1,139,0
DATA_0_15,1,1,139,0
DATA_0_16,1,1,139,0
DATA_0_17,1,1,131,0
DATA_0_18,1,1,131,0
DATA_0_19,1,1,131,0
DATA_0_2,1,1,130,0
DATA_0_20,1,1,131,0
DATA_0_21,1,1,131,0
DATA_0_22,1,1,131,0
DATA_0_23,1,1,131,0
DATA_0_24,1,1,131,0
DATA_0_25,1,1,131,0
DATA_0_26,1,1,137,0
DATA_0_27,1,1,131,0
DATA_0_28,1,1,131,0
DATA_0_29,1,1,131,0
DATA_0_3,1,1,139,0
DATA_0_30,1,1,129,0
DATA_0_31,1,1,118,0
DATA_0_4,1,1,147,0
DATA_0_5,1,1,139,0
DATA_0_6,1,1,139,0
DATA_0_7,1,1,139,0
DATA_0_8,1,1,139,0
DATA_0_9,1,1,139,0
RESET,1,1,29,0
TM0,1,1,46,0
TM1,1,1,48,0
test_se,1,1,29,0
test_si,1,1,59,0
U1,3,42,16,0
U2,3,42,24,0
U3,3,51,30,0
U4,3,51,30,0
U5,3,51,38,0
U6,3,51,30,0
U7,3,51,30,0
U8,3,51,30,0
U9,3,51,30,0
U10,3,51,30,0
U11,3,51,30,0
U12,3,51,38,0
U13,3,51,30,0
U14,3,51,30,0
U15,3,51,30,0
U16,3,51,30,0
U17,3,51,38,0
U18,3,51,30,0
U19,3,51,30,0
U20,3,51,30,0
U21,3,51,30,0
U22,3,51,30,0
U23,3,51,30,0
U24,3,51,30,0
U25,3,51,30,0
U26,3,51,30,0
U27,3,51,30,0
U28,3,51,30,0
U29,3,51,30,0
U30,3,47,30,0
U31,3,42,30,0
U32,3,37,30,0
U33,3,32,28,0
U34,3,32,36,0
U35,3,41,42,0
U36,3,41,42,0
U37,3,41,50,0
U38,3,41,42,0
U39,3,41,42,0
U40,3,41,42,0
U41,3,41,42,0
U42,3,41,42,0
U43,3,41,42,0
U44,3,41,50,0
U45,3,41,42,0
U46,3,41,42,0
U47,3,41,42,0
U48,3,41,42,0
U49,2,41,50,0
U50,2,41,42,0
U51,2,41,42,0
U52,2,41,42,0
U53,2,41,42,0
U54,2,41,42,0
U55,2,41,42,0
U56,2,41,42,0
U57,2,41,42,0
U58,2,41,42,0
U59,2,41,42,0
U60,2,41,42,0
U61,2,41,42,0
U62,2,37,42,0
U63,2,32,42,0
U64,2,27,42,0
U65,2,22,40,0
U66,2,22,48,0
U67,2,31,54,0
U68,2,31,54,0
U69,2,31,62,0
U70,2,31,54,0
U71,2,31,54,0
U72,2,31,54,0
U73,2,31,54,0
U74,2,31,54,0
U75,2,31,54,0
U76,2,31,62,0
U77,2,31,54,0
U78,2,31,54,0
U79,2,31,54,0
U80,2,31,54,0
U81,3,33,60,0
U82,3,33,52,0
U83,3,33,52,0
U84,3,33,52,0
U85,3,33,52,0
U86,3,33,52,0
U87,3,33,52,0
