gate,CC0,CC1,CO,is_trojan
CONST_0,1,1,#INF,0
CONST_1,1,1,#INF,0
CK,1,1,14,0
g1249,1,1,169,0
g1943,1,1,115,0
g2637,1,1,179,0
g3212,1,1,47,0
g3213,1,1,40,0
g3214,1,1,40,0
g3215,1,1,40,0
g3216,1,1,40,0
g3217,1,1,40,0
g3218,1,1,40,0
g3219,1,1,8,0
g3220,1,1,15,0
g3221,1,1,29,0
g3222,1,1,36,0
g3223,1,1,40,0
g3224,1,1,40,0
g3225,1,1,40,0
g3226,1,1,40,0
g3227,1,1,40,0
g3228,1,1,40,0
g3229,1,1,32,0
g3230,1,1,16,0
g3231,1,1,103,0
g3232,1,1,22,0
g3233,1,1,16,0
g3234,1,1,8,0
g51,1,1,10,0
g563,1,1,118,0
test_se,1,1,8,0
test_si1,1,1,41,0
test_si2,1,1,16,0
test_si3,1,1,39,0
test_si4,1,1,16,0
test_si5,1,1,16,0
test_si6,1,1,16,0
test_si7,1,1,128,0
test_si8,1,1,128,0
test_si9,1,1,128,0
test_si10,1,1,92,0
test_si11,1,1,18,0
test_si12,1,1,128,0
test_si13,1,1,128,0
test_si14,1,1,128,0
test_si15,1,1,128,0
test_si16,1,1,64,0
test_si17,1,1,56,0
test_si18,1,1,128,0
test_si19,1,1,128,0
test_si20,1,1,41,0
test_si21,1,1,128,0
test_si22,1,1,64,0
test_si23,1,1,128,0
test_si24,1,1,8,0
test_si25,1,1,32,0
test_si26,1,1,128,0
test_si27,1,1,72,0
test_si28,1,1,40,0
test_si29,1,1,128,0
test_si30,1,1,128,0
test_si31,1,1,112,0
test_si32,1,1,128,0
test_si33,1,1,128,0
test_si34,1,1,128,0
test_si35,1,1,128,0
test_si36,1,1,128,0
test_si37,1,1,32,0
test_si38,1,1,40,0
test_si39,1,1,97,0
test_si40,1,1,128,0
test_si41,1,1,57,0
test_si42,1,1,128,0
test_si43,1,1,32,0
test_si44,1,1,78,0
test_si45,1,1,24,0
test_si46,1,1,64,0
test_si47,1,1,128,0
test_si48,1,1,40,0
test_si49,1,1,8,0
test_si50,1,1,128,0
test_si51,1,1,128,0
test_si52,1,1,82,0
test_si53,1,1,128,0
test_si54,1,1,128,0
test_si55,1,1,128,0
test_si56,1,1,128,0
test_si57,1,1,128,0
test_si58,1,1,17,0
test_si59,1,1,32,0
test_si60,1,1,128,0
test_si61,1,1,105,0
test_si62,1,1,33,0
test_si63,1,1,128,0
test_si64,1,1,8,0
test_si65,1,1,64,0
test_si66,1,1,16,0
test_si67,1,1,48,0
test_si68,1,1,120,0
test_si69,1,1,40,0
test_si70,1,1,16,0
test_si71,1,1,115,0
test_si72,1,1,120,0
test_si73,1,1,114,0
test_si74,1,1,70,0
test_si75,1,1,120,0
test_si76,1,1,120,0
test_si77,1,1,120,0
test_si78,1,1,120,0
test_si79,1,1,80,0
test_si80,1,1,48,0
test_si81,1,1,103,0
test_si82,1,1,120,0
test_si83,1,1,73,0
test_si84,1,1,41,0
test_si85,1,1,120,0
test_si86,1,1,8,0
test_si87,1,1,80,0
test_si88,1,1,24,0
test_si89,1,1,64,0
test_si90,1,1,120,0
test_si91,1,1,56,0
