gate,CC0,CC1,CO,is_trojan
U5116,105,25,0,0
U5126,51,21,120,0
U5127,34,21,184,0
U5128,42,10,68,0
U5129,42,10,76,0
DFF_0_Q_reg,8,6,41,0
DFF_1_Q_reg,8,11,33,0
DFF_2_Q_reg,8,16,44,0
DFF_4_Q_reg,8,21,36,0
DFF_5_Q_reg,8,26,28,0
DFF_6_Q_reg,8,31,49,0
DFF_7_Q_reg,8,32,48,0
DFF_9_Q_reg,8,37,40,0
DFF_10_Q_reg,8,42,32,0
DFF_12_Q_reg,8,42,24,0
DFF_13_Q_reg,8,47,16,0
DFF_14_Q_reg,8,48,8,0
DFF_15_Q_reg,8,24,0,0
DFF_16_Q_reg,8,6,64,0
DFF_17_Q_reg,8,11,56,0
DFF_18_Q_reg,8,16,73,0
DFF_19_Q_reg,8,21,68,0
DFF_20_Q_reg,8,26,64,0
DFF_21_Q_reg,8,31,56,0
DFF_22_Q_reg,8,24,48,0
DFF_23_Q_reg,8,29,40,0
DFF_24_Q_reg,8,27,32,0
DFF_25_Q_reg,8,32,24,0
DFF_26_Q_reg,8,37,16,0
DFF_27_Q_reg,8,42,8,0
DFF_28_Q_reg,8,47,0,0
DFF_29_Q_reg,8,6,8,0
DFF_30_Q_reg,8,11,0,0
DFF_31_Q_reg,8,16,24,0
DFF_32_Q_reg,8,21,16,0
DFF_33_Q_reg,8,24,8,0
DFF_34_Q_reg,8,29,0,0
DFF_35_Q_reg,8,34,48,0
DFF_37_Q_reg,8,29,40,0
DFF_38_Q_reg,8,31,32,0
DFF_39_Q_reg,8,36,24,0
DFF_41_Q_reg,8,41,16,0
DFF_42_Q_reg,8,46,8,0
DFF_43_Q_reg,8,46,0,0
DFF_44_Q_reg,8,6,16,0
DFF_45_Q_reg,8,11,8,0
DFF_46_Q_reg,8,16,0,0
DFF_47_Q_reg,8,21,54,0
DFF_48_Q_reg,8,20,46,0
DFF_50_Q_reg,8,25,54,0
DFF_51_Q_reg,8,24,46,0
DFF_52_Q_reg,8,29,38,0
DFF_53_Q_reg,8,23,30,0
DFF_54_Q_reg,8,24,24,0
DFF_55_Q_reg,8,29,16,0
DFF_56_Q_reg,8,23,8,0
DFF_58_Q_reg,8,28,0,0
DFF_59_Q_reg,8,6,9,0
DFF_60_Q_reg,8,11,1,0
DFF_61_Q_reg,8,16,48,0
DFF_62_Q_reg,8,21,64,0
DFF_63_Q_reg,8,26,56,0
DFF_64_Q_reg,8,31,48,0
DFF_65_Q_reg,8,36,40,0
DFF_66_Q_reg,8,41,39,0
DFF_67_Q_reg,8,34,31,0
DFF_68_Q_reg,8,39,24,0
DFF_69_Q_reg,8,39,16,0
DFF_70_Q_reg,8,42,8,0
DFF_71_Q_reg,8,29,0,0
DFF_72_Q_reg,8,6,32,0
DFF_73_Q_reg,8,11,24,0
DFF_74_Q_reg,8,16,16,0
DFF_75_Q_reg,8,21,8,0
DFF_76_Q_reg,8,26,0,0
DFF_77_Q_reg,8,31,32,0
DFF_78_Q_reg,8,36,24,0
DFF_79_Q_reg,8,26,16,0
DFF_80_Q_reg,8,31,8,0
DFF_81_Q_reg,8,36,0,0
DFF_82_Q_reg,8,41,16,0
DFF_83_Q_reg,8,46,8,0
DFF_84_Q_reg,8,24,0,0
DFF_85_Q_reg,8,6,0,0
DFF_86_Q_reg,8,11,0,0
DFF_87_Q_reg,8,16,56,0
DFF_88_Q_reg,8,21,62,0
DFF_89_Q_reg,8,26,54,0
DFF_90_Q_reg,8,31,46,0
DFF_91_Q_reg,8,24,48,0
DFF_92_Q_reg,8,29,40,0
DFF_93_Q_reg,8,34,32,0
DFF_94_Q_reg,8,33,24,0
DFF_95_Q_reg,8,24,16,0
DFF_96_Q_reg,8,29,8,0
DFF_98_Q_reg,8,34,0,0
DFF_99_Q_reg,8,6,16,0
DFF_100_Q_reg,8,11,8,0
DFF_101_Q_reg,8,16,0,0
DFF_102_Q_reg,8,21,38,0
DFF_103_Q_reg,8,26,30,0
DFF_104_Q_reg,8,31,40,0
DFF_105_Q_reg,8,36,32,0
DFF_106_Q_reg,8,41,24,0
DFF_107_Q_reg,8,40,16,0
DFF_108_Q_reg,8,45,8,0
DFF_109_Q_reg,8,26,0,0
DFF_110_Q_reg,8,23,0,0
DFF_111_Q_reg,8,28,0,0
DFF_112_Q_reg,8,6,32,0
DFF_113_Q_reg,8,11,24,0
DFF_115_Q_reg,8,16,16,0
DFF_116_Q_reg,8,21,8,0
DFF_117_Q_reg,8,22,0,0
DFF_118_Q_reg,8,27,32,0
DFF_119_Q_reg,8,32,24,0
DFF_120_Q_reg,8,37,16,0
DFF_121_Q_reg,8,20,8,0
DFF_123_Q_reg,8,18,0,0
DFF_124_Q_reg,8,23,8,0
DFF_125_Q_reg,8,28,0,0
DFF_126_Q_reg,8,20,0,0
DFF_127_Q_reg,8,6,40,0
DFF_128_Q_reg,8,11,32,0
DFF_129_Q_reg,8,16,24,0
DFF_130_Q_reg,8,21,16,0
DFF_131_Q_reg,8,26,8,0
DFF_132_Q_reg,8,31,0,0
DFF_133_Q_reg,8,36,48,0
DFF_134_Q_reg,8,34,40,0
DFF_135_Q_reg,8,39,32,0
DFF_136_Q_reg,8,39,24,0
DFF_137_Q_reg,8,44,16,0
DFF_139_Q_reg,8,29,8,0
DFF_141_Q_reg,8,34,0,0
DFF_142_Q_reg,8,6,32,0
DFF_143_Q_reg,8,11,24,0
DFF_144_Q_reg,8,16,16,0
DFF_145_Q_reg,8,21,8,0
DFF_146_Q_reg,8,26,0,0
DFF_147_Q_reg,8,31,0,0
DFF_148_Q_reg,8,36,32,0
DFF_149_Q_reg,8,41,24,0
DFF_150_Q_reg,8,46,16,0
DFF_151_Q_reg,8,42,8,0
DFF_152_Q_reg,8,17,0,0
DFF_153_Q_reg,8,22,8,0
DFF_154_Q_reg,8,27,0,0
DFF_155_Q_reg,8,6,44,0
DFF_156_Q_reg,8,11,52,0
DFF_157_Q_reg,8,16,44,0
DFF_158_Q_reg,8,21,36,0
DFF_159_Q_reg,8,26,28,0
DFF_160_Q_reg,8,31,24,0
DFF_161_Q_reg,8,36,16,0
DFF_162_Q_reg,8,24,8,0
DFF_163_Q_reg,8,29,0,0
DFF_164_Q_reg,8,34,8,0
DFF_165_Q_reg,8,26,0,0
DFF_166_Q_reg,8,28,8,0
DFF_167_Q_reg,8,33,0,0
DFF_169_Q_reg,8,6,64,0
DFF_170_Q_reg,8,11,56,0
DFF_171_Q_reg,8,16,48,0
DFF_172_Q_reg,8,21,40,0
DFF_173_Q_reg,8,26,32,0
DFF_174_Q_reg,8,29,24,0
DFF_175_Q_reg,8,34,16,0
DFF_177_Q_reg,8,39,8,0
DFF_178_Q_reg,8,20,0,0
DFF_179_Q_reg,8,25,8,0
DFF_181_Q_reg,8,28,0,0
DFF_182_Q_reg,8,33,8,0
DFF_183_Q_reg,8,38,0,0
DFF_184_Q_reg,8,6,8,0
DFF_185_Q_reg,8,11,0,0
DFF_186_Q_reg,8,16,16,0
DFF_187_Q_reg,8,21,8,0
DFF_188_Q_reg,8,26,0,0
DFF_189_Q_reg,8,31,56,0
DFF_190_Q_reg,8,36,48,0
DFF_192_Q_reg,8,41,40,0
DFF_193_Q_reg,8,30,32,0
DFF_194_Q_reg,8,35,24,0
DFF_195_Q_reg,8,24,16,0
DFF_196_Q_reg,8,29,8,0
DFF_197_Q_reg,8,29,0,0
DFF_198_Q_reg,8,6,28,0
DFF_199_Q_reg,8,11,20,0
DFF_201_Q_reg,8,16,16,0
DFF_202_Q_reg,8,21,8,0
DFF_203_Q_reg,8,26,0,0
DFF_204_Q_reg,8,31,40,0
DFF_206_Q_reg,8,36,48,0
DFF_207_Q_reg,8,40,40,0
DFF_208_Q_reg,8,35,32,0
DFF_209_Q_reg,8,40,24,0
DFF_210_Q_reg,8,34,16,0
DFF_211_Q_reg,8,39,8,0
DFF_212_Q_reg,8,27,0,0
DFF_213_Q_reg,8,6,37,0
DFF_214_Q_reg,8,11,40,0
DFF_215_Q_reg,8,16,32,0
DFF_216_Q_reg,8,21,24,0
DFF_218_Q_reg,8,26,16,0
DFF_219_Q_reg,8,31,8,0
DFF_220_Q_reg,8,36,0,0
DFF_221_Q_reg,8,36,40,0
DFF_222_Q_reg,8,27,32,0
